gender,parent_age,child_age,key,array_index,premi
PRIA,19,3,ju,6,1388
PRIA,19,3,ju,7,1735
PRIA,19,3,ju,8,3090
PRIA,19,3,ki,1,5.29
PRIA,19,3,ki,2,7.94
PRIA,19,3,ki,3,10.58
PRIA,19,3,ki,4,11.90
PRIA,19,3,ki,5,14.28
PRIA,19,3,ki,6,21.15
PRIA,19,3,ki,7,42.30
PRIA,19,3,ki,8,211.50
PRIA,19,3,ku,2,822
PRIA,19,3,ku,3,1110
PRIA,19,3,ku,4,1480
PRIA,19,3,ku,5,1974
PRIA,19,3,ku,6,2632
PRIA,19,3,ku,7,3290
PRIA,19,3,ku,8,6580
PRIA,19,4,ji,3,5.52
PRIA,19,4,ji,4,6.90
PRIA,19,4,ji,5,8.28
PRIA,19,4,ji,6,12.40
PRIA,19,4,ji,7,22.10
PRIA,19,4,ji,8,110.50
PRIA,19,4,ju,3,590
PRIA,19,4,ju,4,786
PRIA,19,4,ju,5,1080
PRIA,19,4,ju,6,1416
PRIA,19,4,ju,7,1770
PRIA,19,4,ju,8,3140
PRIA,19,4,ki,1,5.33
PRIA,19,4,ki,2,8.00
PRIA,19,4,ki,3,10.66
PRIA,19,4,ki,4,12.00
PRIA,19,4,ki,5,14.40
PRIA,19,4,ki,6,21.30
PRIA,19,4,ki,7,42.60
PRIA,19,4,ki,8,213.00
PRIA,19,4,ku,2,831
PRIA,19,4,ku,3,1122
PRIA,19,4,ku,4,1496
PRIA,19,4,ku,5,1995
PRIA,19,4,ku,6,2660
PRIA,19,4,ku,7,3325
PRIA,19,4,ku,8,6650
PRIA,19,5,ji,3,5.54
PRIA,19,5,ji,4,6.93
PRIA,19,5,ji,5,8.31
PRIA,19,5,ji,6,12.45
PRIA,19,5,ji,7,22.20
PRIA,19,5,ji,8,111.00
PRIA,19,5,ju,3,600
PRIA,19,5,ju,4,800
PRIA,19,5,ju,5,1080
PRIA,19,5,ju,6,1440
PRIA,19,5,ju,7,1800
PRIA,19,5,ju,8,3200
PRIA,19,5,ki,1,5.37
PRIA,19,5,ki,2,8.06
PRIA,19,5,ki,3,10.74
PRIA,19,5,ki,4,12.08
PRIA,19,5,ki,5,14.49
PRIA,19,5,ki,6,21.50
PRIA,19,5,ki,7,43.00
PRIA,19,5,ki,8,215.00
PRIA,19,5,ku,2,840
PRIA,19,5,ku,3,1134
PRIA,19,5,ku,4,1512
PRIA,19,5,ku,5,2016
PRIA,19,5,ku,6,2688
PRIA,19,5,ku,7,3360
PRIA,19,5,ku,8,6720
PRIA,19,6,ji,3,5.70
PRIA,19,6,ji,4,7.13
PRIA,19,6,ji,5,8.55
PRIA,19,6,ji,6,12.85
PRIA,19,6,ji,7,22.80
PRIA,19,6,ji,8,114.00
PRIA,19,6,ju,3,612
PRIA,19,6,ju,4,816
PRIA,19,6,ju,5,1101
PRIA,19,6,ju,6,1468
PRIA,19,6,ju,7,1835
PRIA,19,6,ju,8,3260
PRIA,19,6,ki,1,5.41
PRIA,19,6,ki,2,8.12
PRIA,19,6,ki,3,10.80
PRIA,19,6,ki,4,12.18
PRIA,19,6,ki,5,14.61
PRIA,19,6,ki,6,21.65
PRIA,19,6,ki,7,43.30
PRIA,19,6,ki,8,216.50
PRIA,19,6,ku,2,849
PRIA,19,6,ku,3,1146
PRIA,19,6,ku,4,1528
PRIA,19,6,ku,5,2037
